DuckID,Day,Time,Sample,Titer
5,14,2,cs,
5,14,2,fecal,
6,0,1,cs,
6,0,1,fecal,
6,0,2,cs,0
6,0,2,fecal,0
6,1,1,cs,0
6,1,1,fecal,0
6,1,2,cs,
6,1,2,fecal,1
6,2,1,cs,7.6
6,2,1,fecal,8.7
6,2,2,cs,
6,2,2,fecal,7.2
6,3,1,cs,6.2
6,3,1,fecal,7.6
6,3,2,cs,
6,3,2,fecal,6.3
6,4,1,cs,6
6,4,1,fecal,7.2
6,4,2,cs,
6,4,2,fecal,6.1
6,5,1,cs,5.6
6,5,1,fecal,5
6,5,2,cs,
6,5,2,fecal,5.1
6,6,1,cs,3.8
6,6,1,fecal,3.1
6,6,2,cs,
6,6,2,fecal,3.8
6,7,1,cs,3.5
6,7,1,fecal,4.9
6,7,2,cs,
6,7,2,fecal,3.4
6,8,1,cs,4.2
6,8,1,fecal,4.3
6,8,2,cs,
6,8,2,fecal,3.9
6,9,1,cs,3.7
6,9,1,fecal,4
6,9,2,cs,
6,9,2,fecal,4
6,10,1,cs,3.4
6,10,1,fecal,4.3
6,10,2,cs,
6,10,2,fecal,
6,12,1,cs,0
6,12,1,fecal,0
6,12,2,cs,
6,12,2,fecal,1
6,14,1,cs,0
6,14,1,fecal,1
6,14,2,cs,
6,14,2,fecal,
8,0,1,cs,
8,0,1,fecal,
8,0,2,cs,0
8,0,2,fecal,0
8,1,1,cs,0
8,1,1,fecal,0
8,1,2,cs,
8,1,2,fecal,0
8,2,1,cs,1
8,2,1,fecal,0
8,2,2,cs,
8,2,2,fecal,0
8,3,1,cs,6.3
8,3,1,fecal,7.4
8,3,2,cs,
8,3,2,fecal,7.4
8,4,1,cs,6.2
8,4,1,fecal,6.8
8,4,2,cs,
8,4,2,fecal,7.1
8,5,1,cs,4.5
8,5,1,fecal,5.7
8,5,2,cs,
8,5,2,fecal,5
8,6,1,cs,5.5
8,6,1,fecal,6.3
8,6,2,cs,
8,6,2,fecal,6.4
8,7,1,cs,2.5
8,7,1,fecal,3
8,7,2,cs,
8,7,2,fecal,0
8,8,1,cs,0
8,8,1,fecal,0
8,8,2,cs,
8,8,2,fecal,0
8,9,1,cs,0
8,9,1,fecal,0
8,9,2,cs,
8,9,2,fecal,
8,10,1,cs,0
8,10,1,fecal,0
8,10,2,cs,
8,10,2,fecal,
8,12,1,cs,0
8,12,1,fecal,0
8,12,2,cs,
8,12,2,fecal,0
8,14,1,cs,0
8,14,1,fecal,0
8,14,2,cs,
8,14,2,fecal,
